Stkcd,Accper,TTM,ROCA,ROE
2594,2025/6/30,0.002004,0.006194,0.008803
2714,2010/12/31,,,
2714,2010/12/31,,,
2714,2011/12/31,,,
2714,2011/12/31,,,
2714,2012/12/31,,,
2714,2012/12/31,,,
2714,2013/6/30,,,
2714,2013/6/30,,,
2714,2013/12/31,0.141357,0.113058,0.266046
2714,2013/12/31,0.131306,0.097488,0.197493
2714,2014/3/31,-0.007368,-0.01609,-0.035652
2714,2014/3/31,-0.001227,-0.007706,-0.015016
2714,2014/6/30,-0.00779,-0.02289,-0.051892
2714,2014/6/30,0.000632,-0.010759,-0.021038
2714,2014/9/30,0.022919,0.000757,0.001726
2714,2014/9/30,0.033584,0.015921,0.031805
2714,2014/12/31,0.04985,0.021811,0.050045
2714,2014/12/31,0.044617,0.021977,0.043857
2714,2015/3/31,0.002425,-0.004779,-0.01042
2714,2015/3/31,0.001301,-0.00357,-0.006702
2714,2015/6/30,0.023196,0.010088,0.023842
2714,2015/6/30,0.01596,0.006767,0.013739
2714,2015/9/30,0.076809,0.057288,0.134111
2714,2015/9/30,0.051236,0.036183,0.072158
2714,2015/12/31,0.129322,0.106527,0.217852
2714,2015/12/31,0.088069,0.07036,0.126264
2714,2016/3/31,0.053666,0.048824,0.099287
2714,2016/3/31,0.02606,0.022205,0.040479
2714,2016/6/30,0.140233,0.13126,0.264261
2714,2016/6/30,0.07789,0.070285,0.122826
2714,2016/9/30,0.208753,0.195846,0.408636
2714,2016/9/30,0.280317,0.270719,0.479352
2714,2016/12/31,0.249428,0.232203,0.50567
2714,2016/12/31,0.279552,0.266532,0.500179
2714,2017/3/31,0.054074,0.049264,0.113312
2714,2017/3/31,0.013748,0.009599,0.019785
2714,2017/6/30,0.088283,0.079182,0.162495
2714,2017/6/30,0.02041,0.011924,0.022264
2714,2017/9/30,0.126889,0.113567,0.235583
2714,2017/9/30,0.049711,0.036665,0.06904
2714,2017/12/31,0.14483,0.12795,0.25715
2714,2017/12/31,0.043716,0.027318,0.051625
2714,2018/3/31,0.009948,0.005373,0.010624
2714,2018/3/31,0.049707,0.045135,0.086739
2714,2018/6/30,0.006715,-0.003168,-0.006396
2714,2018/6/30,0.049873,0.038695,0.076283
2714,2018/9/30,0.028754,0.013551,0.027988
2714,2018/9/30,0.05095,0.032954,0.065673
2714,2018/12/31,0.039505,0.0196,0.039939
2714,2018/12/31,0.060489,0.03727,0.078841
2714,2019/3/31,-0.012359,-0.018274,-0.041465
2714,2019/3/31,0.008035,0.002016,0.004957
2714,2019/6/30,0.005555,-0.004893,-0.011013
2714,2019/6/30,0.022025,0.011001,0.027177
2714,2019/9/30,0.057269,0.043367,0.086207
2714,2019/9/30,0.024011,0.008806,0.018783
2714,2019/12/31,0.165527,0.153187,0.279021
2714,2019/12/31,0.038133,0.023358,0.056392
2714,2020/3/31,0.075267,0.073388,0.125155
2714,2020/3/31,0.006598,0.00433,0.011821
2714,2020/6/30,0.170843,0.166965,0.294832
2714,2020/6/30,0.011143,0.006378,0.018955
2714,2020/9/30,0.300956,0.294623,0.509958
2714,2020/9/30,0.016211,0.009234,0.029282
2714,2020/12/31,0.353936,0.346124,0.621054
2714,2020/12/31,0.157146,0.149514,0.399879
2714,2021/3/31,0.063599,0.060443,0.114386
2714,2021/3/31,0.005775,0.003174,0.008734
2714,2021/6/30,0.08759,0.080601,0.16118
2714,2021/6/30,0.010161,0.005949,0.018616
2714,2021/9/30,0.07699,0.066577,0.141242
2714,2021/12/31,0.065279,0.050942,0.113408
2714,2021/12/31,0.050763,0.041797,0.139787
2714,2022/3/31,-0.028093,-0.031881,-0.086817
2714,2022/6/30,-0.033499,-0.041168,-0.114108
2714,2022/6/30,0.00105,-0.005972,-0.025608
2714,2022/9/30,0.021535,0.010076,0.026094
2714,2022/12/31,0.095646,0.080675,0.19063
2714,2022/12/31,0.042436,0.030948,0.128017
2714,2023/3/31,-0.002422,-0.00614,-0.013759
2714,2023/6/30,-0.006987,-0.014494,-0.033865
2714,2023/6/30,0.009745,0.004906,0.0237
2714,2023/9/30,0.002932,-0.00878,-0.02041
2714,2023/12/31,-0.005747,-0.021464,-0.051421
2714,2023/12/31,0.029046,0.018413,0.081826
2714,2024/3/31,-0.008348,-0.012543,-0.033765
2714,2024/6/30,0.013318,0.005296,0.013923
2714,2024/6/30,0.009142,0.003664,0.017028
2714,2024/9/30,0.069818,0.058166,0.146391
2714,2024/12/31,0.114198,0.098812,0.249715
2714,2024/12/31,0.03954,0.028744,0.137575
2714,2025/3/31,0.027714,0.023945,0.058328
2714,2025/6/30,0.065122,0.057686,0.135327
2714,2025/6/30,0.061158,0.055904,0.283508
600030,2007/3/31,0.021055,0.016609,0.094625
