"Stkcd","ShortName","Accper","Typrep","Source","F050101B","F050302B","F050404C","F050501B"
"601919","中国远洋","2016-03-31","B","0","-0.538840","-4.464638","-44449.336832","-0.756260"
"601919","中国远洋","2016-06-30","A","0","-0.046051","-0.147462","-0.126448","-0.173300"
"601919","中国远洋","2016-06-30","B","0","-0.563306","-5.458331","-38977.140877","-0.760300"
"601919","中国远洋","2016-09-30","A","0","-0.055312","-0.184269","-0.130659","-0.229994"
"601919","中国远洋","2016-09-30","B","0","-0.565748","-14.279680","-40502.122169","-0.764520"
"601919","中远海控","2016-12-31","A","0","-0.056604","-0.197840","-0.147811","-0.242384"
"601919","中远海控","2016-12-31","B","0","-0.560479","-13.063451","-31955.060459","-0.767079"
"601919","中远海控","2017-03-31","A","0","0.008363","0.010477","-0.098287","0.012440"
"601919","中远海控","2017-03-31","B","0","0.000021","-0.047466","-412.791682","-0.002941"
"601919","中远海控","2017-06-30","A","0","0.040459","0.080437","0.024935","0.081761"
"601919","中远海控","2017-06-30","B","0","-0.000036","-0.097760","-378.819525","-0.006062"
"601919","中远海控","2017-09-30","A","0","0.050649","0.100263","0.090127","0.106246"
"601919","中远海控","2017-09-30","B","0","-0.003695","-0.195785","-634.618605","-0.014391"
"601919","中远海控","2017-12-31","A","0","0.055807","0.113925","0.104235","0.110515"
"601919","中远海控","2017-12-31","B","0","-0.003543","-0.336842","-705.520221","-0.017510"
"601919","中远海控","2018-03-31","A","0","0.008788","0.013355","0.102864","0.011433"
"601919","中远海控","2018-03-31","B","0","-0.000192","-0.081740","-795.885398","-0.003462"
"601919","中远海控","2018-06-30","A","0","0.014076","0.018164","0.042994","0.017394"
"601919","中远海控","2018-06-30","B","0","-0.000472","-0.211089","-880.998451","-0.007440"
"601919","中远海控","2018-09-30","A","0","0.020105","0.041035","0.031458","0.038730"
"601919","中远海控","2018-09-30","B","0","-0.000744","-0.353261","-708.773895","-0.011319"
"601919","中远海控","2018-12-31","A","0","0.029861","0.060681","0.038169","0.053704"
"601919","中远海控","2018-12-31","B","0","-0.000119","-0.497511","-573.460105","-0.013707"
"601919","中远海控","2019-03-31","A","0","0.010099","0.016351","0.051704","0.017588"
"601919","中远海控","2019-03-31","B","0","-0.000168","-0.011864","-579.051683","-0.001399"
"601919","中远海控","2019-06-30","A","0","0.019800","0.034185","0.056678","0.034519"
"601919","中远海控","2019-06-30","B","0","-0.000544","-0.110008","-615.659166","-0.003458"
"601919","中远海控","2019-09-30","A","0","0.029584","0.053726","0.042639","0.054611"
"601919","中远海控","2019-09-30","B","0","-0.000643","-0.055563","-637.139731","-0.005486"
"601919","中远海控","2019-12-31","A","0","0.064606","0.156098","0.098300","0.149725"
"601919","中远海控","2019-12-31","B","0","-0.001642","-0.088054","-606.193042","-0.008675"
"601919","中远海控","2020-03-31","A","0","0.007896","0.010198","0.103174","0.009689"
"601919","中远海控","2020-03-31","B","0","-0.000169","-0.009801","-693.465908","-0.002193"
"601919","中远海控","2020-06-30","A","0","0.016965","0.028149","0.099726","0.027338"
"601919","中远海控","2020-06-30","B","0","-0.000421","-0.021974","-794.857642","-0.004453"
"601919","中远海控","2020-09-30","A","0","0.036952","0.081180","0.121752","0.075920"
"601919","中远海控","2020-09-30","B","0","-0.000865","-0.055217","-982.757044","-0.006799"
"601919","中远海控","2020-12-31","A","0","0.066487","0.182820","0.131674","0.167573"
"601919","中远海控","2020-12-31","B","0","0.001878","-0.045367","-639.296286","-0.005406"
"601919","中远海控","2021-03-31","A","0","0.067556","0.215628","0.301543","0.183294"
"601919","中远海控","2021-03-31","B","0","0.030131","0.844693","3627.445856","0.033101"
"601919","中远海控","2021-06-30","A","0","0.152032","0.435101","0.539084","0.357665"
"601919","中远海控","2021-06-30","B","0","0.215670","1.716490","35369.593414","0.242201"
"601919","中远海控","2021-09-30","A","0","0.254482","0.645399","0.859300","0.511022"
"601919","中远海控","2021-09-30","B","0","0.350008","1.838931","75633.159342","0.385779"
"601919","中远海控","2021-12-31","A","0","0.316735","0.756716","1.044334","0.580634"
"601919","中远海控","2021-12-31","B","0","0.588533","2.078814","182972.322603","0.597260"
"601919","中远海控","2022-03-31","A","0","0.084046","0.139764","1.207408","0.154560"
"601919","中远海控","2022-03-31","B","0","-0.000198","0.001397","208268.397455","0.000773"
"601919","中远海控","2022-06-30","A","0","0.187523","0.320002","1.389050","0.318706"
"601919","中远海控","2022-06-30","B","0","-0.000642","0.017223","160965.305623","0.010164"
"601919","中远海控","2022-09-30","A","0","0.247655","0.436666","1.391599","0.420025"
"601919","中远海控","2022-09-30","B","0","0.306801","0.604858","228554.420560","0.325879"
"601919","中远海控","2022-12-31","A","0","0.317751","0.565766","1.302040","0.518052"
"601919","中远海控","2022-12-31","B","0","0.585326","1.364334","230414.770533","0.605388"
"601919","中远海控","2023-03-31","A","0","0.017999","0.033806","1.068986","0.033003"
"601919","中远海控","2023-03-31","B","0","0.005292","0.010000","272226.676113","0.004034"
"601919","中远海控","2023-06-30","A","0","0.038652","0.081683","0.715534","0.079202"
"601919","中远海控","2023-06-30","B","0","0.014518","0.049824","298855.065806","0.018539"
"601919","中远海控","2023-09-30","A","0","0.053050","0.108093","0.398944","0.103297"
"601919","中远海控","2023-09-30","B","0","0.020572","0.067134","133290.964440","0.024773"
"601919","中远海控","2023-12-31","A","0","0.059294","0.122491","0.267960","0.116749"
"601919","中远海控","2023-12-31","B","0","0.098786","0.286941","45022.760167","0.103798"
"601919","中远海控","2024-03-31","A","0","0.017957","0.038503","0.254330","0.030722"
"601919","中远海控","2024-03-31","B","0","0.007430","0.043846","57344.456472","0.007435"
"601919","中远海控","2024-06-30","A","0","0.045758","0.096049","0.247861","0.074798"
"601919","中远海控","2024-06-30","B","0","0.016417","0.102845","68450.784960","0.016498"
"601919","中远海控","2024-09-30","A","0","0.101122","0.206908","0.404658","0.159893"
"601919","中远海控","2024-09-30","B","0","0.055909","0.329774","115696.261347","0.062159"
"601919","中远海控","2024-12-31","A","0","0.126955","0.271084","0.472406","0.194330"
"601919","中远海控","2024-12-31","B","0","0.256440","1.327980","323896.037387","0.257608"
"601919","中远海控","2025-03-31","A","0","0.028673","0.063448","0.504367","0.044735"
"601919","中远海控","2025-03-31","B","0","0.006889","0.032260","445706.428374","0.007314"
"601919","中远海控","2025-06-30","A","0","0.043944","0.100667","0.434176","0.071433"
"601919","中远海控","2025-06-30","B","0","0.085974","0.457740","806659.486722","0.087504"
